2021-08-16 10:58:01,945 144061   1629125881	pi3-r1-m2-l1-p2.pi3lan.local:6700	  6:v4         	tuple_outRate.count    	0
2021-08-16 10:58:01,945 144061   1629125881	pi3-r1-m2-l1-p2.pi3lan.local:6700	  6:v4         	tuple_outRate.mean_rate	0.0
2021-08-16 10:58:02,117 144233   1629125882	pi3-r1-m2-l5-p1.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:febd:ecf0:35832=5}, messageBytes={7-3=398}}
2021-08-16 10:58:02,118 144234   1629125882	pi3-r1-m2-l5-p1.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=3270, sys-ms=2270}
2021-08-16 10:58:02,197 144313   1629125882	pi3-r1-m2-l1-p2.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:fe3b:89c9:34584=5, /fd65:aeb8:64e2:a7c:ba27:ebff:fefb:438:38494=28}, messageBytes={9-6=8336, 3-6=1010}}
2021-08-16 10:58:02,198 144314   1629125882	pi3-r1-m2-l1-p2.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=4100, sys-ms=2070}
2021-08-16 10:58:02,214 144330   1629125882	pi3-r1-m2-l2-p2.pi3lan.local:6700	  9:v7         	tuple_inRate.count     	222
2021-08-16 10:58:02,215 144331   1629125882	pi3-r1-m2-l2-p2.pi3lan.local:6700	  9:v7         	tuple_inRate.mean_rate 	1.8499195346049789E-6
2021-08-16 10:58:02,215 144331   1629125882	pi3-r1-m2-l2-p2.pi3lan.local:6700	  9:v7         	tuple_outRate.count    	222
2021-08-16 10:58:02,216 144332   1629125882	pi3-r1-m2-l2-p2.pi3lan.local:6700	  9:v7         	tuple_outRate.mean_rate	1.8499234582761277E-6
2021-08-16 10:58:02,445 144561   1629125882	pi3-r1-m2-l2-p2.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:fea1:1d8e:40708=17, /fd65:aeb8:64e2:a7c:ba27:ebff:fe68:e899:55262=98}, messageBytes={5-9=1350, 8-9=19746}}
2021-08-16 10:58:02,447 144563   1629125882	pi3-r1-m2-l2-p2.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=5030, sys-ms=2340}
2021-08-16 10:58:02,455 144571   1629125882	pi3-r1-m2-l1-p4.pi3lan.local:6700	  2:v0         	tuple_inRate.count     	161
2021-08-16 10:58:02,456 144572   1629125882	pi3-r1-m2-l1-p4.pi3lan.local:6700	  2:v0         	tuple_inRate.mean_rate 	1.3415927066507782E-6
2021-08-16 10:58:02,456 144572   1629125882	pi3-r1-m2-l1-p4.pi3lan.local:6700	  2:v0         	tuple_outRate.count    	161
2021-08-16 10:58:02,456 144572   1629125882	pi3-r1-m2-l1-p4.pi3lan.local:6700	  2:v0         	tuple_outRate.mean_rate	1.3415944982514622E-6
2021-08-16 10:58:02,732 144848   1629125882	pi3-r1-m2-l1-p4.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:fefb:438:33246=86}, messageBytes={9-2=26496}}
2021-08-16 10:58:02,733 144849   1629125882	pi3-r1-m2-l1-p4.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=4900, sys-ms=2130}
2021-08-16 10:58:02,742 144858   1629125882	pi3-r1-m2-l2-p3.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={}, messageBytes={}}
2021-08-16 10:58:02,743 144859   1629125882	pi3-r1-m2-l2-p3.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=2890, sys-ms=1190}
2021-08-16 10:58:03,440 145556   1629125883	pi3-r1-m2-l2-p1.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={}, messageBytes={}}
2021-08-16 10:58:03,441 145557   1629125883	pi3-r1-m2-l2-p1.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=3160, sys-ms=1310}
2021-08-16 10:58:03,771 145887   1629125883	pi3-r1-m2-l3-p2.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={}, messageBytes={}}
2021-08-16 10:58:03,774 145890   1629125883	pi3-r1-m2-l3-p2.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=3440, sys-ms=1300}
2021-08-16 10:58:06,578 148694   1629125886	pi3-r1-m2-l2-p1.pi3lan.local:6700	  5:v3         	tuple_inRate.count     	123
2021-08-16 10:58:06,579 148695   1629125886	pi3-r1-m2-l2-p1.pi3lan.local:6700	  5:v3         	tuple_inRate.mean_rate 	9.966578114548172E-7
2021-08-16 10:58:06,579 148695   1629125886	pi3-r1-m2-l2-p1.pi3lan.local:6700	  5:v3         	tuple_outRate.count    	123
2021-08-16 10:58:06,579 148695   1629125886	pi3-r1-m2-l2-p1.pi3lan.local:6700	  5:v3         	tuple_outRate.mean_rate	9.96658596320891E-7
2021-08-16 10:58:06,960 149076   1629125886	pi3-r1-m2-l3-p2.pi3lan.local:6700	  7:v5         	tuple_inRate.count     	123
2021-08-16 10:58:06,961 149077   1629125886	pi3-r1-m2-l3-p2.pi3lan.local:6700	  7:v5         	tuple_inRate.mean_rate 	9.96613371268909E-7
2021-08-16 10:58:06,961 149077   1629125886	pi3-r1-m2-l3-p2.pi3lan.local:6700	  7:v5         	tuple_outRate.count    	123
2021-08-16 10:58:06,962 149078   1629125886	pi3-r1-m2-l3-p2.pi3lan.local:6700	  7:v5         	tuple_outRate.mean_rate	9.96614319666952E-7
2021-08-16 10:58:23,947 166063   1629125903	pi3-r1-m2-l4-p4.pi3lan.local:6700	  4:v2         	tuple_inRate.count     	189
2021-08-16 10:58:23,948 166064   1629125903	pi3-r1-m2-l4-p4.pi3lan.local:6700	  4:v2         	tuple_inRate.mean_rate 	1.5747356345627213E-6
2021-08-16 10:58:23,948 166064   1629125903	pi3-r1-m2-l4-p4.pi3lan.local:6700	  4:v2         	tuple_outRate.count    	0
2021-08-16 10:58:23,949 166065   1629125903	pi3-r1-m2-l4-p4.pi3lan.local:6700	  4:v2         	tuple_outRate.mean_rate	0.0
